Timestamp,What is your age?,What is your gender?,What is your University name?,Your current year of study?,How many cups of caffeine (tea/coffee/energy drinks) do you have daily?,How often do you use electronic devices (phone/laptop) in bed before sleep?,How often do you feel cognitive load?,How often do you feel stressed?,"How would you rate your ""Mental Stamina"" (the ability to think hard for long periods)?","How often do you find yourself ""spacing out"" or losing your train of thought during conversations?","Do you experience ""Audio Lag"" (hearing someone speak but taking a few seconds to understand the meaning)?","On average, how many hours of actual sleep do you get per night?",How often do you wake up in the middle of the night?,How would you rate your overall sleep quality?,How often do you forget basic information in your daily life?,"How much do you rely on ""external reminders"" (alarms, notes, friends) to remember basic daily tasks?","How frequently do you experience ""Brain Fog"" (confusion or lack of clarity)?",How many academic deadlines have you missed or delayed in the last month?,To what extent do you feel sleep deprivation is lowering your GPA?,How often does physical or mental fatigue prevent you from completing your daily goals? ,Do you struggle with making quick decisions or solving logical problems?
2026/03/27 03:24:24 AM GMT+6,24,Male,Metropolitan University,4th Year,5 or more,Rarely,Sometimes,Rarely,1 (Total Exhaustion),Rarely,Maybe,5â€“6 hours,Sometimes,2 (Poor),Sometimes,Not at all,Never,3â€“4,Minor impact,Never,Never
2026/03/21 08:04:49 PM GMT+6,21,Male,AUST,1st Year,1â€“2,Rarely,Always,Always,2 (Fading Fast),Sometimes,Maybe,Less than 5 hours,Sometimes,5 (Excellent),Always,Not at all,Always,3â€“4,Minor impact,Sometimes,Always
2026/04/22 02:57:46 PM GMT+6,26,Male,UIU,4th Year,5 or more,Never,Always,Never,2 (Fading Fast),Never,No,5â€“6 hours,Always,2 (Poor),Never,Sometimes,Sometimes,1â€“2,Severe impact,Sometimes,Always
2026/03/08 11:25:24 PM GMT+6,24,Female,MIST,3rd Year,1â€“2,Never,Never,Often,2 (Fading Fast),Always,No,More than 8 hours,Always,5 (Excellent),Never,Sometimes,Always,1â€“2,Minor impact,Rarely,Never
2026/04/30 06:44:36 PM GMT+6,25,Female,Stamford University,4th Year,3â€“4,Never,Rarely,Rarely,2 (Fading Fast),Never,Maybe,6â€“7 hours,Always,4 (Good),Never,Sometimes,Always,1â€“2,Severe impact,Never,Sometimes
2026/03/21 12:36:38 AM GMT+6,22,Female,BRAC University,1st Year,1â€“2,Never,Never,Never,3 (Full Energy),Always,Yes,More than 8 hours,Always,2 (Poor),Never,Sometimes,Sometimes,5 or more,Moderate impact,Never,Always
2026/03/29 08:26:15 AM GMT+6,22,Female,"Independent University, Bangladesh (IUB)",1st Year,1â€“2,Always,Rarely,Often,2 (Fading Fast),Always,Yes,Less than 5 hours,Sometimes,3 (Average),Never,Sometimes,Always,3â€“4,No impact,Never,Sometimes
2026/03/26 12:54:19 AM GMT+6,26,Female,Jahangirnagar University,Graduated,1â€“2,Sometimes,Never,Never,2 (Fading Fast),Always,Maybe,Less than 5 hours,Never,5 (Excellent),Rarely,Not at all,Never,3â€“4,High impact,Often,Always
2026/04/14 05:05:44 AM GMT+6,25,Male,AUST,Graduated,5 or more,Always,Rarely,Never,2 (Fading Fast),Sometimes,Yes,More than 8 hours,Sometimes,1 (Very Poor),Always,Sometimes,Always,3â€“4,No impact,Often,Never
2026/03/17 06:45:05 AM GMT+6,22,Female,Comilla University,2nd Year,5 or more,Rarely,Never,Always,1 (Total Exhaustion),Always,Yes,7â€“8 hours,Always,1 (Very Poor),Sometimes,Not at all,Always,5 or more,No impact,Sometimes,Sometimes
2026/04/02 04:38:20 PM GMT+6,25,Male,Green University,3rd Year,5 or more,Sometimes,Rarely,Never,3 (Full Energy),Rarely,No,6â€“7 hours,Never,1 (Very Poor),Always,Completely dependent,Sometimes,3â€“4,No impact,Always,Sometimes
2026/04/09 04:35:47 AM GMT+6,26,Female,Stamford University,Graduated,5 or more,Never,Sometimes,Sometimes,2 (Fading Fast),Never,No,7â€“8 hours,Always,3 (Average),Always,Not at all,Never,3â€“4,Minor impact,Always,Always
2026/03/30 11:48:49 AM GMT+6,23,Female,BUP,2nd Year,3â€“4,Never,Never,Never,2 (Fading Fast),Sometimes,Maybe,5â€“6 hours,Sometimes,3 (Average),Rarely,Not at all,Sometimes,5 or more,No impact,Never,Never
2026/04/24 02:13:47 PM GMT+6,22,Male,East West University,1st Year,5 or more,Sometimes,Always,Rarely,2 (Fading Fast),Sometimes,Yes,Less than 5 hours,Always,4 (Good),Rarely,Not at all,Never,5 or more,Severe impact,Often,Always
2026/03/05 02:29:25 PM GMT+6,23,Male,MIST,2nd Year,1â€“2,Never,Sometimes,Sometimes,1 (Total Exhaustion),Never,Yes,7â€“8 hours,Always,4 (Good),Never,Sometimes,Never,3â€“4,High impact,Often,Never
2026/03/09 03:14:48 AM GMT+6,23,Male,Jagannath University,1st Year,3â€“4,Rarely,Rarely,Often,1 (Total Exhaustion),Always,Yes,7â€“8 hours,Never,1 (Very Poor),Always,Sometimes,Never,3â€“4,Severe impact,Always,Never
2026/04/16 07:12:27 AM GMT+6,25,Male,Jahangirnagar University,3rd Year,5 or more,Never,Never,Often,3 (Full Energy),Sometimes,Yes,Less than 5 hours,Always,1 (Very Poor),Never,Sometimes,Sometimes,3â€“4,High impact,Never,Never
2026/04/28 05:37:28 AM GMT+6,25,Female,BRAC University,4th Year,3â€“4,Never,Always,Never,3 (Full Energy),Never,Yes,5â€“6 hours,Sometimes,2 (Poor),Rarely,Sometimes,Always,5 or more,Severe impact,Sometimes,Sometimes
2026/03/05 11:49:17 PM GMT+6,25,Female,Khulna University,3rd Year,3â€“4,Never,Rarely,Always,2 (Fading Fast),Always,Yes,6â€“7 hours,Always,3 (Average),Never,Not at all,Always,5 or more,Moderate impact,Often,Always
2026/03/25 11:36:34 PM GMT+6,23,Male,SUST,1st Year,5 or more,Always,Rarely,Always,1 (Total Exhaustion),Always,Yes,6â€“7 hours,Always,4 (Good),Rarely,Completely dependent,Sometimes,5 or more,Moderate impact,Never,Always
2026/04/14 09:03:01 PM GMT+6,25,Male,BUP,3rd Year,3â€“4,Rarely,Never,Never,1 (Total Exhaustion),Always,No,More than 8 hours,Never,1 (Very Poor),Always,Not at all,Never,5 or more,Moderate impact,Rarely,Sometimes
2026/03/29 12:14:33 AM GMT+6,25,Female,Asian University for Women,4th Year,5 or more,Never,Never,Often,1 (Total Exhaustion),Always,No,More than 8 hours,Sometimes,5 (Excellent),Always,Completely dependent,Sometimes,5 or more,Severe impact,Sometimes,Always
2026/03/24 10:07:12 AM GMT+6,21,Female,Comilla University,1st Year,1â€“2,Never,Never,Never,2 (Fading Fast),Sometimes,Maybe,Less than 5 hours,Always,4 (Good),Rarely,Completely dependent,Always,3â€“4,No impact,Always,Never
2026/04/19 04:44:44 AM GMT+6,26,Male,Metropolitan University,2nd Year,3â€“4,Always,Never,Often,2 (Fading Fast),Rarely,Yes,5â€“6 hours,Sometimes,1 (Very Poor),Rarely,Not at all,Never,3â€“4,High impact,Sometimes,Sometimes
2026/04/18 03:47:51 AM GMT+6,23,Female,Jahangirnagar University,3rd Year,5 or more,Always,Rarely,Rarely,1 (Total Exhaustion),Always,Maybe,5â€“6 hours,Always,3 (Average),Never,Sometimes,Always,1â€“2,Minor impact,Always,Sometimes
2026/04/12 10:01:51 AM GMT+6,25,Female,University of Chittagong,Graduated,1â€“2,Sometimes,Rarely,Sometimes,3 (Full Energy),Never,No,Less than 5 hours,Sometimes,2 (Poor),Rarely,Not at all,Always,1â€“2,Severe impact,Sometimes,Sometimes
2026/04/12 09:05:37 PM GMT+6,26,Male,AIUB,Graduated,3â€“4,Sometimes,Rarely,Often,1 (Total Exhaustion),Sometimes,Maybe,Less than 5 hours,Never,3 (Average),Never,Sometimes,Sometimes,1â€“2,Severe impact,Rarely,Sometimes
2026/03/30 09:03:58 PM GMT+6,24,Female,Comilla University,4th Year,1â€“2,Sometimes,Always,Often,2 (Fading Fast),Never,Maybe,5â€“6 hours,Always,2 (Poor),Sometimes,Sometimes,Sometimes,1â€“2,Severe impact,Rarely,Never
2026/03/01 05:42:52 PM GMT+6,26,Male,University of Chittagong,4th Year,1â€“2,Always,Always,Always,3 (Full Energy),Rarely,Maybe,More than 8 hours,Always,2 (Poor),Sometimes,Not at all,Sometimes,3â€“4,No impact,Never,Always
2026/04/20 12:57:34 PM GMT+6,23,Male,Jahangirnagar University,2nd Year,3â€“4,Sometimes,Sometimes,Always,3 (Full Energy),Never,Yes,5â€“6 hours,Never,4 (Good),Rarely,Not at all,Never,1â€“2,Severe impact,Always,Never
2026/04/25 08:31:19 AM GMT+6,25,Female,University of Dhaka,4th Year,1â€“2,Always,Always,Sometimes,2 (Fading Fast),Rarely,Yes,5â€“6 hours,Never,3 (Average),Never,Not at all,Never,3â€“4,No impact,Rarely,Always
2026/04/29 11:52:38 AM GMT+6,26,Male,BUET,Graduated,5 or more,Never,Never,Sometimes,1 (Total Exhaustion),Always,Yes,5â€“6 hours,Never,4 (Good),Rarely,Not at all,Never,3â€“4,Minor impact,Never,Never
2026/04/03 01:24:49 PM GMT+6,25,Female,IUT,Graduated,3â€“4,Never,Always,Rarely,3 (Full Energy),Always,Maybe,More than 8 hours,Sometimes,2 (Poor),Sometimes,Sometimes,Never,5 or more,Moderate impact,Sometimes,Always
2026/03/30 03:58:09 AM GMT+6,26,Female,IUT,1st Year,5 or more,Sometimes,Sometimes,Rarely,2 (Fading Fast),Rarely,Maybe,More than 8 hours,Never,1 (Very Poor),Always,Not at all,Sometimes,1â€“2,Moderate impact,Never,Sometimes
2026/04/05 04:03:59 PM GMT+6,23,Female,MIST,3rd Year,1â€“2,Always,Rarely,Often,2 (Fading Fast),Never,Yes,Less than 5 hours,Sometimes,4 (Good),Never,Completely dependent,Sometimes,1â€“2,High impact,Rarely,Sometimes
2026/04/14 05:10:39 AM GMT+6,24,Female,University of Chittagong,4th Year,5 or more,Always,Sometimes,Rarely,1 (Total Exhaustion),Sometimes,Yes,Less than 5 hours,Never,4 (Good),Always,Completely dependent,Never,3â€“4,No impact,Rarely,Always
2026/04/23 11:42:20 AM GMT+6,27,Male,North South University (NSU),Graduated,3â€“4,Rarely,Sometimes,Often,2 (Fading Fast),Sometimes,No,Less than 5 hours,Never,4 (Good),Rarely,Not at all,Never,1â€“2,Severe impact,Never,Always
2026/04/23 11:07:51 AM GMT+6,22,Male,Jagannath University,2nd Year,3â€“4,Always,Rarely,Often,3 (Full Energy),Never,Yes,7â€“8 hours,Sometimes,2 (Poor),Sometimes,Completely dependent,Always,1â€“2,Moderate impact,Sometimes,Sometimes
2026/03/18 08:00:29 PM GMT+6,26,Male,BRAC University,Graduated,3â€“4,Never,Always,Never,2 (Fading Fast),Sometimes,Maybe,Less than 5 hours,Sometimes,2 (Poor),Rarely,Not at all,Always,1â€“2,Moderate impact,Never,Sometimes
2026/04/03 12:17:14 AM GMT+6,26,Male,University of Rajshahi,1st Year,1â€“2,Always,Rarely,Often,2 (Fading Fast),Sometimes,Maybe,Less than 5 hours,Always,3 (Average),Rarely,Completely dependent,Sometimes,1â€“2,No impact,Never,Never
2026/04/11 09:48:56 PM GMT+6,23,Male,Stamford University,3rd Year,1â€“2,Always,Sometimes,Never,2 (Fading Fast),Sometimes,Yes,More than 8 hours,Sometimes,3 (Average),Never,Sometimes,Never,3â€“4,Minor impact,Sometimes,Never
2026/04/19 03:03:30 PM GMT+6,22,Male,BUET,1st Year,5 or more,Always,Sometimes,Always,3 (Full Energy),Always,Yes,5â€“6 hours,Always,2 (Poor),Always,Not at all,Sometimes,5 or more,No impact,Sometimes,Always
2026/04/26 12:40:00 PM GMT+6,24,Male,University of Dhaka,2nd Year,3â€“4,Always,Sometimes,Always,3 (Full Energy),Sometimes,Maybe,Less than 5 hours,Sometimes,1 (Very Poor),Sometimes,Not at all,Always,1â€“2,Moderate impact,Rarely,Always
2026/03/30 04:26:11 PM GMT+6,26,Female,Green University,Graduated,3â€“4,Sometimes,Rarely,Always,3 (Full Energy),Never,No,7â€“8 hours,Always,4 (Good),Always,Not at all,Sometimes,1â€“2,Moderate impact,Often,Never
2026/04/22 04:57:39 PM GMT+6,25,Male,DIU,3rd Year,3â€“4,Never,Always,Rarely,3 (Full Energy),Rarely,Maybe,5â€“6 hours,Never,5 (Excellent),Sometimes,Sometimes,Never,5 or more,Severe impact,Often,Always
2026/04/25 04:35:28 AM GMT+6,22,Female,Leading University,2nd Year,1â€“2,Always,Rarely,Always,1 (Total Exhaustion),Sometimes,No,7â€“8 hours,Always,4 (Good),Sometimes,Sometimes,Sometimes,3â€“4,Severe impact,Always,Sometimes
2026/03/15 07:47:46 PM GMT+6,25,Male,Jahangirnagar University,4th Year,3â€“4,Sometimes,Never,Sometimes,1 (Total Exhaustion),Sometimes,Yes,Less than 5 hours,Always,1 (Very Poor),Always,Not at all,Sometimes,3â€“4,Moderate impact,Never,Sometimes
2026/03/08 03:30:22 AM GMT+6,26,Female,Comilla University,Graduated,1â€“2,Sometimes,Never,Always,1 (Total Exhaustion),Always,Maybe,7â€“8 hours,Never,1 (Very Poor),Sometimes,Completely dependent,Never,5 or more,Moderate impact,Always,Sometimes
2026/04/15 08:56:26 AM GMT+6,27,Female,University of Asia Pacific (UAP),Graduated,5 or more,Never,Sometimes,Rarely,3 (Full Energy),Sometimes,Yes,Less than 5 hours,Always,1 (Very Poor),Never,Sometimes,Sometimes,3â€“4,No impact,Sometimes,Never
2026/03/23 07:49:41 PM GMT+6,24,Female,UIU,2nd Year,5 or more,Always,Rarely,Rarely,2 (Fading Fast),Rarely,Maybe,7â€“8 hours,Never,2 (Poor),Rarely,Sometimes,Always,5 or more,High impact,Sometimes,Never
2026/04/28 03:54:48 AM GMT+6,22,Male,AIUB,4th Year,5 or more,Never,Rarely,Never,3 (Full Energy),Sometimes,Yes,7â€“8 hours,Always,2 (Poor),Rarely,Sometimes,Never,1â€“2,Moderate impact,Rarely,Never
2026/03/14 01:19:58 PM GMT+6,26,Male,Stamford University,2nd Year,5 or more,Rarely,Rarely,Never,1 (Total Exhaustion),Never,No,6â€“7 hours,Never,5 (Excellent),Rarely,Sometimes,Never,3â€“4,Moderate impact,Sometimes,Always
2026/04/14 09:34:42 AM GMT+6,21,Male,Khulna University,1st Year,3â€“4,Always,Never,Sometimes,2 (Fading Fast),Rarely,Yes,7â€“8 hours,Never,2 (Poor),Always,Not at all,Sometimes,1â€“2,Severe impact,Rarely,Sometimes
2026/04/21 07:12:20 PM GMT+6,25,Male,Sylhet Agricultural University,4th Year,1â€“2,Rarely,Never,Never,1 (Total Exhaustion),Sometimes,No,7â€“8 hours,Never,2 (Poor),Never,Completely dependent,Never,5 or more,Severe impact,Often,Never
2026/03/18 05:49:26 AM GMT+6,21,Male,Asian University for Women,1st Year,1â€“2,Never,Rarely,Always,3 (Full Energy),Never,Yes,7â€“8 hours,Always,3 (Average),Sometimes,Completely dependent,Never,1â€“2,Moderate impact,Rarely,Always
2026/04/06 10:23:57 AM GMT+6,25,Male,IUT,Graduated,3â€“4,Sometimes,Rarely,Rarely,1 (Total Exhaustion),Rarely,Yes,6â€“7 hours,Never,4 (Good),Sometimes,Not at all,Never,1â€“2,Minor impact,Always,Sometimes
2026/04/19 12:24:57 PM GMT+6,28,Male,Jahangirnagar University,4th Year,1â€“2,Never,Always,Rarely,1 (Total Exhaustion),Never,Yes,More than 8 hours,Never,3 (Average),Never,Sometimes,Always,3â€“4,Moderate impact,Always,Always
2026/04/06 06:14:10 AM GMT+6,22,Female,IUT,2nd Year,1â€“2,Always,Sometimes,Often,1 (Total Exhaustion),Always,No,More than 8 hours,Never,4 (Good),Sometimes,Completely dependent,Never,5 or more,Minor impact,Often,Sometimes
2026/03/13 12:36:37 AM GMT+6,22,Female,Begum Rokeya University,1st Year,1â€“2,Sometimes,Always,Never,3 (Full Energy),Always,Maybe,7â€“8 hours,Sometimes,1 (Very Poor),Always,Sometimes,Sometimes,1â€“2,Severe impact,Rarely,Never
2026/04/13 05:33:01 AM GMT+6,24,Female,North South University (NSU),3rd Year,5 or more,Rarely,Never,Always,1 (Total Exhaustion),Never,Maybe,7â€“8 hours,Never,4 (Good),Always,Not at all,Sometimes,5 or more,No impact,Rarely,Sometimes
2026/03/03 09:29:11 PM GMT+6,22,Female,IIUC Chittagong,2nd Year,3â€“4,Rarely,Never,Often,3 (Full Energy),Always,No,6â€“7 hours,Always,1 (Very Poor),Rarely,Sometimes,Always,3â€“4,Severe impact,Always,Sometimes
2026/03/18 08:15:00 AM GMT+6,25,Male,Comilla University,4th Year,5 or more,Never,Sometimes,Never,1 (Total Exhaustion),Rarely,No,5â€“6 hours,Never,2 (Poor),Sometimes,Sometimes,Never,5 or more,Moderate impact,Rarely,Sometimes
2026/04/25 03:52:36 AM GMT+6,26,Male,BUP,4th Year,5 or more,Always,Rarely,Never,2 (Fading Fast),Always,No,5â€“6 hours,Never,2 (Poor),Always,Sometimes,Always,5 or more,Minor impact,Rarely,Always
2026/03/20 03:40:48 PM GMT+6,20,Male,Sylhet Agricultural University,1st Year,5 or more,Never,Never,Always,2 (Fading Fast),Sometimes,Yes,More than 8 hours,Sometimes,5 (Excellent),Always,Not at all,Sometimes,3â€“4,No impact,Sometimes,Never
2026/03/14 02:38:33 AM GMT+6,20,Female,Asian University for Women,2nd Year,5 or more,Sometimes,Sometimes,Sometimes,1 (Total Exhaustion),Sometimes,No,6â€“7 hours,Always,1 (Very Poor),Sometimes,Not at all,Sometimes,3â€“4,Severe impact,Sometimes,Always
2026/04/07 02:22:40 PM GMT+6,24,Male,"Independent University, Bangladesh (IUB)",2nd Year,5 or more,Always,Sometimes,Never,2 (Fading Fast),Sometimes,Yes,7â€“8 hours,Sometimes,1 (Very Poor),Always,Not at all,Always,3â€“4,High impact,Never,Never
2026/03/20 06:13:48 AM GMT+6,23,Female,Asian University for Women,2nd Year,1â€“2,Always,Never,Often,1 (Total Exhaustion),Rarely,Maybe,Less than 5 hours,Never,2 (Poor),Sometimes,Completely dependent,Sometimes,3â€“4,Minor impact,Rarely,Always
2026/03/23 11:08:08 PM GMT+6,23,Female,Green University,2nd Year,1â€“2,Sometimes,Sometimes,Always,2 (Fading Fast),Sometimes,Maybe,Less than 5 hours,Sometimes,4 (Good),Rarely,Sometimes,Never,3â€“4,Minor impact,Never,Sometimes
2026/03/05 08:38:38 PM GMT+6,24,Female,Green University,3rd Year,3â€“4,Never,Sometimes,Sometimes,3 (Full Energy),Never,No,6â€“7 hours,Always,1 (Very Poor),Rarely,Not at all,Never,5 or more,High impact,Never,Sometimes
2026/04/22 06:35:47 AM GMT+6,24,Male,SUST,3rd Year,1â€“2,Rarely,Never,Rarely,3 (Full Energy),Rarely,Maybe,7â€“8 hours,Never,1 (Very Poor),Always,Sometimes,Never,5 or more,No impact,Sometimes,Always
2026/03/22 11:03:37 PM GMT+6,25,Female,Noakhali STU,4th Year,1â€“2,Always,Rarely,Often,2 (Fading Fast),Rarely,Yes,5â€“6 hours,Always,3 (Average),Always,Sometimes,Never,3â€“4,No impact,Sometimes,Never
2026/03/17 08:37:20 AM GMT+6,28,Female,Green University,Graduated,1â€“2,Always,Always,Often,3 (Full Energy),Sometimes,No,More than 8 hours,Never,5 (Excellent),Always,Completely dependent,Never,5 or more,Moderate impact,Sometimes,Always
2026/04/29 09:49:48 AM GMT+6,22,Male,SUST,1st Year,1â€“2,Always,Always,Rarely,3 (Full Energy),Rarely,Maybe,6â€“7 hours,Never,3 (Average),Always,Completely dependent,Always,5 or more,No impact,Often,Always
2026/03/13 10:58:12 PM GMT+6,24,Female,Sylhet Agricultural University,1st Year,5 or more,Rarely,Always,Always,1 (Total Exhaustion),Sometimes,Yes,5â€“6 hours,Sometimes,4 (Good),Rarely,Not at all,Sometimes,5 or more,Severe impact,Never,Sometimes
2026/04/05 12:01:29 PM GMT+6,26,Female,Leading University,4th Year,1â€“2,Rarely,Sometimes,Sometimes,3 (Full Energy),Always,No,More than 8 hours,Always,4 (Good),Always,Sometimes,Never,3â€“4,Minor impact,Never,Never
2026/03/03 03:45:52 AM GMT+6,23,Male,SUST,3rd Year,5 or more,Rarely,Never,Sometimes,3 (Full Energy),Sometimes,Yes,More than 8 hours,Never,5 (Excellent),Rarely,Not at all,Sometimes,1â€“2,Severe impact,Always,Sometimes
2026/04/04 01:07:08 PM GMT+6,26,Female,Asian University for Women,Graduated,1â€“2,Always,Always,Never,3 (Full Energy),Sometimes,No,7â€“8 hours,Always,3 (Average),Rarely,Completely dependent,Sometimes,5 or more,No impact,Never,Sometimes
2026/03/15 09:40:34 AM GMT+6,21,Female,Asian University for Women,1st Year,1â€“2,Sometimes,Sometimes,Often,2 (Fading Fast),Sometimes,Yes,More than 8 hours,Always,1 (Very Poor),Never,Not at all,Always,5 or more,High impact,Never,Sometimes
2026/04/04 09:25:40 AM GMT+6,25,Female,University of Dhaka,4th Year,3â€“4,Never,Sometimes,Often,3 (Full Energy),Sometimes,No,6â€“7 hours,Never,2 (Poor),Rarely,Completely dependent,Sometimes,3â€“4,Severe impact,Rarely,Sometimes
2026/03/19 02:37:55 AM GMT+6,25,Female,East West University,3rd Year,1â€“2,Always,Rarely,Always,2 (Fading Fast),Always,No,5â€“6 hours,Always,2 (Poor),Sometimes,Not at all,Always,3â€“4,Severe impact,Rarely,Always
2026/04/29 12:46:33 PM GMT+6,21,Female,Jagannath University,1st Year,5 or more,Always,Sometimes,Rarely,2 (Fading Fast),Sometimes,Maybe,5â€“6 hours,Always,3 (Average),Sometimes,Not at all,Always,3â€“4,Minor impact,Sometimes,Always
2026/04/20 03:57:07 AM GMT+6,23,Female,IUT,1st Year,3â€“4,Never,Never,Sometimes,3 (Full Energy),Always,Maybe,5â€“6 hours,Always,5 (Excellent),Sometimes,Completely dependent,Always,5 or more,No impact,Always,Always
2026/03/02 08:45:04 AM GMT+6,27,Male,University of Asia Pacific (UAP),Graduated,5 or more,Always,Rarely,Rarely,1 (Total Exhaustion),Always,Yes,5â€“6 hours,Always,4 (Good),Never,Completely dependent,Always,3â€“4,High impact,Never,Always
2026/04/17 06:43:33 PM GMT+6,24,Male,AIUB,1st Year,1â€“2,Never,Sometimes,Rarely,1 (Total Exhaustion),Never,Maybe,5â€“6 hours,Never,5 (Excellent),Rarely,Not at all,Always,1â€“2,Minor impact,Never,Always
2026/04/20 02:22:26 AM GMT+6,27,Male,MIST,2nd Year,5 or more,Rarely,Always,Often,2 (Fading Fast),Always,Yes,7â€“8 hours,Never,4 (Good),Rarely,Sometimes,Sometimes,1â€“2,Moderate impact,Rarely,Always
2026/03/30 10:40:33 PM GMT+6,22,Male,BUP,Graduated,5 or more,Never,Always,Never,2 (Fading Fast),Rarely,Yes,Less than 5 hours,Never,3 (Average),Sometimes,Sometimes,Never,5 or more,Minor impact,Rarely,Never
2026/03/02 02:54:06 AM GMT+6,25,Female,"Independent University, Bangladesh (IUB)",4th Year,5 or more,Never,Rarely,Always,3 (Full Energy),Never,No,6â€“7 hours,Always,3 (Average),Rarely,Not at all,Sometimes,3â€“4,Moderate impact,Sometimes,Always
2026/04/01 07:32:55 PM GMT+6,26,Female,Asian University for Women,2nd Year,1â€“2,Always,Never,Sometimes,1 (Total Exhaustion),Always,Yes,More than 8 hours,Always,3 (Average),Rarely,Sometimes,Always,5 or more,No impact,Rarely,Always
2026/04/12 02:30:22 PM GMT+6,26,Male,Begum Rokeya University,3rd Year,1â€“2,Sometimes,Always,Always,1 (Total Exhaustion),Rarely,No,More than 8 hours,Always,1 (Very Poor),Never,Sometimes,Always,3â€“4,Severe impact,Rarely,Sometimes
2026/04/27 03:24:34 PM GMT+6,25,Female,Stamford University,3rd Year,5 or more,Sometimes,Sometimes,Often,3 (Full Energy),Sometimes,No,7â€“8 hours,Never,5 (Excellent),Never,Completely dependent,Never,5 or more,Moderate impact,Always,Never
2026/03/14 06:05:32 PM GMT+6,23,Male,University of Dhaka,1st Year,3â€“4,Never,Rarely,Sometimes,2 (Fading Fast),Never,Maybe,More than 8 hours,Sometimes,1 (Very Poor),Sometimes,Completely dependent,Always,1â€“2,No impact,Sometimes,Never
2026/03/08 11:24:38 PM GMT+6,23,Male,Comilla University,Graduated,3â€“4,Sometimes,Rarely,Sometimes,2 (Fading Fast),Rarely,No,6â€“7 hours,Always,1 (Very Poor),Never,Not at all,Never,5 or more,Minor impact,Never,Sometimes
2026/03/24 09:33:24 PM GMT+6,22,Female,Sylhet Agricultural University,2nd Year,3â€“4,Never,Never,Always,3 (Full Energy),Never,Maybe,Less than 5 hours,Never,1 (Very Poor),Always,Completely dependent,Never,1â€“2,Minor impact,Never,Never
2026/03/17 06:35:14 PM GMT+6,21,Male,University of Chittagong,1st Year,1â€“2,Never,Never,Sometimes,1 (Total Exhaustion),Always,Yes,More than 8 hours,Never,1 (Very Poor),Always,Not at all,Never,1â€“2,Minor impact,Always,Never
2026/04/16 05:11:59 AM GMT+6,25,Male,DIU,2nd Year,3â€“4,Rarely,Sometimes,Rarely,3 (Full Energy),Never,Maybe,Less than 5 hours,Always,2 (Poor),Always,Sometimes,Always,3â€“4,Moderate impact,Often,Never
2026/04/04 03:37:44 AM GMT+6,28,Male,University of Rajshahi,1st Year,5 or more,Never,Never,Often,2 (Fading Fast),Never,Maybe,5â€“6 hours,Sometimes,1 (Very Poor),Sometimes,Completely dependent,Sometimes,5 or more,High impact,Sometimes,Always
2026/03/01 03:11:23 AM GMT+6,20,Female,UIU,1st Year,3â€“4,Always,Rarely,Always,3 (Full Energy),Never,Maybe,Less than 5 hours,Always,3 (Average),Rarely,Sometimes,Sometimes,3â€“4,Severe impact,Sometimes,Never
2026/03/15 10:20:30 AM GMT+6,25,Male,Noakhali STU,4th Year,3â€“4,Never,Never,Always,1 (Total Exhaustion),Never,Maybe,7â€“8 hours,Never,2 (Poor),Never,Sometimes,Never,5 or more,High impact,Sometimes,Sometimes
2026/04/23 06:22:43 PM GMT+6,27,Male,"Independent University, Bangladesh (IUB)",2nd Year,5 or more,Always,Sometimes,Rarely,3 (Full Energy),Sometimes,Yes,7â€“8 hours,Sometimes,5 (Excellent),Sometimes,Completely dependent,Never,1â€“2,High impact,Rarely,Always
2026/04/21 06:18:42 AM GMT+6,22,Female,University of Asia Pacific (UAP),1st Year,1â€“2,Always,Rarely,Never,1 (Total Exhaustion),Sometimes,Yes,5â€“6 hours,Always,3 (Average),Always,Not at all,Sometimes,1â€“2,No impact,Never,Never
2026/03/21 10:01:24 AM GMT+6,23,Female,Jahangirnagar University,2nd Year,5 or more,Never,Never,Always,1 (Total Exhaustion),Never,Yes,More than 8 hours,Never,5 (Excellent),Always,Not at all,Never,3â€“4,Moderate impact,Never,Never
2026/03/06 11:21:48 AM GMT+6,22,Male,MIST,2nd Year,5 or more,Never,Never,Always,2 (Fading Fast),Never,No,7â€“8 hours,Never,3 (Average),Always,Not at all,Never,3â€“4,No impact,Never,Never
2026/03/04 03:01:09 AM GMT+6,22,Female,University of Chittagong,2nd Year,5 or more,Never,Never,Sometimes,3 (Full Energy),Sometimes,Maybe,7â€“8 hours,Never,3 (Average),Rarely,Not at all,Never,1â€“2,No impact,Always,Always
2026/04/14 05:16:40 AM GMT+6,23,Male,SUST,3rd Year,3â€“4,Always,Never,Sometimes,1 (Total Exhaustion),Rarely,Maybe,5â€“6 hours,Sometimes,3 (Average),Sometimes,Completely dependent,Never,1â€“2,Severe impact,Rarely,Sometimes
2026/03/08 03:12:34 PM GMT+6,22,Female,SUST,2nd Year,3â€“4,Sometimes,Never,Never,2 (Fading Fast),Always,Yes,6â€“7 hours,Sometimes,2 (Poor),Never,Not at all,Never,1â€“2,Severe impact,Always,Always
2026/04/13 02:30:32 AM GMT+6,21,Female,SUST,1st Year,5 or more,Rarely,Always,Never,2 (Fading Fast),Never,Yes,6â€“7 hours,Always,2 (Poor),Never,Sometimes,Sometimes,1â€“2,Minor impact,Always,Always
